"Name","ID","State","Runtime","N_sensors","T","steps","Best sensor location","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"resilient-sweep-50","uy4o0psq","finished","47788","200","0.05","10000","{""values"":[8,6,6,8,6,3,6,5,5,7,9,6,8,5,5,6,7,5,7,6,5,6,8,6,7,7,7,6,4,5,6,9],""_type"":""histogram"",""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309]}","0.0065255663357675076","1","3094","216","6687","3"
"toasty-sweep-49","8bmvysoo","finished","47968","200","0.04","10000","{""_type"":""histogram"",""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309],""values"":[8,6,6,8,6,3,6,5,5,7,9,6,8,5,5,6,7,5,7,6,5,6,8,6,7,7,7,6,4,5,6,9]}","0.0065255663357675076","1","3094","216","6687","3"
"true-sweep-48","f5kotxwt","finished","45880","200","0.03","10000","{""bins"":[0,9.65625,19.3125,28.96875,38.625,48.28125,57.9375,67.59375,77.25,86.90625,96.5625,106.21875,115.875,125.53125,135.1875,144.84375,154.5,164.15625,173.8125,183.46875,193.125,202.78125,212.4375,222.09375,231.75,241.40625,251.0625,260.71875,270.375,280.03125,289.6875,299.34375,309],""values"":[7,8,5,7,4,6,6,7,5,6,7,7,6,7,7,5,7,7,5,6,6,6,6,3,9,4,8,8,5,6,6,8],""_type"":""histogram""}","0.006667653098702431","1","3012","217","6768","3"
"charmed-sweep-47","lqbsnrn3","finished","47470","200","0.02","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[6,8,5,6,7,6,7,5,4,8,5,8,4,7,7,6,7,6,6,7,6,8,5,5,9,5,6,7,4,9,5,6]}","0.0067803505808115005","1.0130153894424438","3131","213","6649","7"
"hearty-sweep-46","ap47uuw8","finished","49787","200","0.01","10000","{""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[6,8,5,6,7,6,7,5,4,8,5,8,4,7,7,6,7,6,6,7,6,8,5,5,9,5,6,7,4,9,5,6],""_type"":""histogram""}","0.0067803505808115005","1","3288","211","6478","23"
"ethereal-sweep-44","9a773oba","finished","60359","100","0.09","10000","{""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[3,3,4,2,3,3,3,4,3,3,3,2,4,3,4,2,2,3,2,4,5,5,2,5,2,3,3,3,4,2,3,3],""_type"":""histogram""}","0.011793130077421663","0.9999473094940186","6271","97","3630","2"
"flowing-sweep-43","5vqwodl4","finished","70218","100","0.08","10000","{""values"":[3,3,4,2,3,3,3,4,3,3,3,2,4,3,4,2,2,3,2,4,5,5,2,5,2,3,3,3,4,2,3,3],""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310]}","0.011793130077421663","1","6332","97","3568","3"
"royal-sweep-42","4stiv44u","finished","69783","100","0.07","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[3,3,4,2,3,3,3,4,3,3,3,2,4,3,4,2,2,3,2,4,5,5,2,5,2,3,3,3,4,2,3,3]}","0.011793130077421663","1","6332","97","3568","3"
"ethereal-sweep-41","vy4uhb30","finished","70683","100","0.06","10000","{""_type"":""histogram"",""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310],""values"":[3,3,4,2,3,3,3,4,3,3,3,2,4,3,4,2,2,3,2,4,5,5,2,5,2,3,3,3,4,2,3,3]}","0.011793130077421663","1","6332","97","3568","3"
"dashing-sweep-39","5fjgu8sg","finished","68813","100","0.04","10000","{""_type"":""histogram"",""values"":[3,3,4,2,3,3,3,4,3,3,3,2,4,3,4,2,2,3,2,4,5,5,2,5,2,3,3,3,4,2,3,3],""bins"":[0,9.6875,19.375,29.0625,38.75,48.4375,58.125,67.8125,77.5,87.1875,96.875,106.5625,116.25,125.9375,135.625,145.3125,155,164.6875,174.375,184.0625,193.75,203.4375,213.125,222.8125,232.5,242.1875,251.875,261.5625,271.25,280.9375,290.625,300.3125,310]}","0.011793130077421663","1.1460046768188477","6174","103","3713","10"
