"Name","ID","State","Runtime","N_sensors","T","steps","E/Emin","E/acceptance probability","Statistics/accepted","Statistics/no_neighbors","Statistics/occupied","Statistics/rejected"
"wild-sweep-52","bdbzgreb","failed","113050","5","0.06","10000","0.041576091200113297","0.9991626739501952","9420","0","66","514"
"logical-sweep-51","bb0ix0nz","finished","161862","5","0.05","10000","0.04822944104671478","0.9871960282325744","9331","0","66","603"
"fluent-sweep-50","49qxpltn","failed","160682","5","0.04","10000","0.05128367990255356","1.0406429767608645","9285","0","96","619"
"floral-sweep-49","0hb2u00x","failed","160554","5","0.03","10000","0.0353114940226078","0.9813271164894104","8889","0","82","1029"
"crimson-sweep-48","9ut3vak6","failed","166483","5","0.02","10000","0.04294918477535248","1.462391972541809","8469","0","47","1484"
"fiery-sweep-47","alkxmf3e","failed","162008","5","0.01","10000","0.04053685814142227","0.16772472858428955","7851","0","53","2096"
"expert-sweep-46","ms8dttep","finished","116294","100","0.1","10000","0.014254669658839704","1.0000098943710327","6229","91","3675","5"
"astral-sweep-52","8ltokckp","finished","48353","200","0.07","10000","0.0065255663357675076","1","3168","225","6605","2"
"stellar-sweep-51","aak53i46","finished","47502","200","0.06","10000","0.0065255663357675076","1","3095","216","6686","3"
"resilient-sweep-50","uy4o0psq","finished","47788","200","0.05","10000","0.0065255663357675076","1","3094","216","6687","3"
"toasty-sweep-49","8bmvysoo","finished","47968","200","0.04","10000","0.0065255663357675076","1","3094","216","6687","3"
"true-sweep-48","f5kotxwt","finished","45880","200","0.03","10000","0.006667653098702431","1","3012","217","6768","3"
"charmed-sweep-47","lqbsnrn3","finished","47470","200","0.02","10000","0.0067803505808115005","1.0130153894424438","3131","213","6649","7"
"hearty-sweep-46","ap47uuw8","finished","49787","200","0.01","10000","0.0067803505808115005","1","3288","211","6478","23"
"ethereal-sweep-44","9a773oba","finished","60359","100","0.09","10000","0.011793130077421663","0.9999473094940186","6271","97","3630","2"
"flowing-sweep-43","5vqwodl4","finished","70218","100","0.08","10000","0.011793130077421663","1","6332","97","3568","3"
"royal-sweep-42","4stiv44u","finished","69783","100","0.07","10000","0.011793130077421663","1","6332","97","3568","3"
"ethereal-sweep-41","vy4uhb30","finished","70683","100","0.06","10000","0.011793130077421663","1","6332","97","3568","3"
"dashing-sweep-39","5fjgu8sg","finished","68813","100","0.04","10000","0.011793130077421663","1.1460046768188477","6174","103","3713","10"
"ancient-sweep-38","g0m4s093","finished","69587","100","0.03","10000","0.011793130077421663","1","6274","103","3616","7"
"zesty-sweep-37","9b60602c","finished","71158","100","0.02","10000","0.011626061052083967","0.9997853636741638","6349","98","3533","20"
"different-sweep-36","pday7v48","finished","71467","100","0.01","10000","0.008662892505526543","1.00012469291687","6378","95","3500","27"
"vital-sweep-35","q17s6af6","finished","88773","50","0.1","10000","0.021317893639206886","1","8032","192","1764","12"
"eager-sweep-34","ujs6z43d","finished","158205","50","0.09","10000","0.01969638839364052","1","8098","189","1698","15"
"earnest-sweep-33","4fsw6htc","finished","159076","50","0.08","10000","0.021317893639206886","1","8146","187","1649","18"
"drawn-sweep-32","6kv3yw3x","finished","158430","50","0.07","10000","0.017560889944434166","0.9963682889938354","8133","199","1658","10"
"electric-sweep-31","a5eqt273","finished","157834","50","0.06","10000","0.021317893639206886","1","8072","201","1710","17"
"misunderstood-sweep-30","l8dt4tdi","finished","157817","50","0.05","10000","0.016884710639715195","1.0000211000442505","7918","214","1850","18"
"glad-sweep-29","1ipgt0vc","failed","41611","50","0.04","10000","0.023166831582784653","0.9999868869781494","7883","204","1882","31"
"dutiful-sweep-28","gjmxvq7r","failed","50430","50","0.03","10000","0.014616711996495724","0","8167","181","1622","30"
"trim-sweep-27","5k6chvqr","failed","50888","50","0.02","10000","0.014616711996495724","0.7783874273300171","8063","179","1702","56"
"peach-sweep-26","2e8kcf1e","failed","53691","50","0.01","10000","0.01914251409471035","1.0000218152999878","8193","184","1534","89"
"sage-sweep-25","xpj3nc2n","failed","59734","25","0.1","10000","0.024769991636276245","1.0024951696395874","9238","0","742","20"
"fluent-sweep-24","yiv481r6","failed","95022","25","0.09","10000","0.02440466172993183","0.9999948740005492","9113","0","860","27"
"giddy-sweep-23","tw6ovg4z","failed","104938","25","0.08","10000","0.023932427167892456","0.9999850988388062","9142","0","820","38"
"worldly-sweep-22","wr9prco3","failed","107997","25","0.07","10000","0.025554493069648743","0.9951220750808716","9126","0","822","52"
"different-sweep-21","o85rg100","failed","109515","25","0.06","10000","0.02484213188290596","1.0000008344650269","9243","0","710","47"
"tough-sweep-20","md5ezadt","failed","109551","25","0.05","10000","0.027174144983291623","0.9999808669090272","9171","0","751","78"
"vibrant-sweep-19","07bvxp96","failed","109241","25","0.04","10000","0.0225612111389637","0.9999603629112244","9162","0","768","70"
"easy-sweep-18","7h1c245z","failed","106295","25","0.03","10000","0.022662991657853127","0.9988075494766236","9219","0","691","90"
"unique-sweep-17","vqmk43p7","failed","104322","25","0.02","10000","0.026113850995898247","0.9978408813476562","9060","0","787","153"
"dainty-sweep-16","sa8xzaur","failed","104946","25","0.01","10000","0.024782557040452957","0","9026","0","748","226"
"warm-sweep-15","drrhh38p","failed","114041","10","0.1","10000","0.0390496626496315","1.2741998434066772","9623","0","247","130"
"denim-sweep-14","0v2auu6s","failed","96988","10","0.09","10000","0.04287859424948692","0.99689918756485","9572","0","301","127"
"chocolate-sweep-13","r0nf27ny","failed","96612","10","0.08","10000","0.03196076303720474","0.9939518570899964","9601","0","266","133"
"warm-sweep-12","ijvy66x1","failed","97442","10","0.07","10000","0.03435593843460083","1.0111957788467407","9557","0","247","196"
"hardy-sweep-11","w4nzv9kc","failed","97387","10","0.06","10000","0.03618998825550079","0.9980841279029846","9522","0","322","156"
"fancy-sweep-9","h626xcio","failed","107501","10","0.02","10000","0.03793663531541824","0.981075882911682","9265","0","254","481"
"sleek-sweep-8","x6hw98zt","failed","105512","10","0.01","10000","0.027452712878584865","0.7565646171569824","8672","0","287","1041"
"smooth-sweep-7","3yslfsud","failed","106652","5","0.1","10000","0.11146410554647446","0.9986686706542968","9526","0","217","257"
"celestial-sweep-6","6on46m0r","failed","107579","5","0.09","10000","0.04225356504321098","0.7046314477920532","9621","0","73","306"
"clean-sweep-5","idrq386t","failed","117555","5","0.08","10000","0.03943059965968132","0.9384180307388306","9525","0","120","355"
